규격,도수,전통주명,제조사,주원료
650ml,5.5,참주가 솔 막걸리,다도참주가,"물, 쌀(국내산), 솔잎(국내산), 당귀(국내산), 한라봉(국내산), 누룩, 올리고당, 아스파탐(감미료, 페닐알라닌함유), 조제종국, 효모 밀,우유함유"
750ml,7,오곡 진상주,대강양조장,"쌀, 밀, 보리, 옥수수, 조 등"
300ml,20,호담 300ml,대농바이오우리산삼,"산양산삼, 정제수, 주정"
375ml,20,산삼가득 명술,대농바이오우리산삼,"국내산 주정, 국내산 산양산삼 5년근"
350ml,13,만품 산삼가득,대농바이오우리산삼,"국내산쌀(경기미), 국내 산양산삼"
750ml,6,호담 산양산삼 막걸리,대농바이오우리산삼,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐"
"400ml, 500ml",40,"진도홍주, 만홍",대대로영농조합법인,"국내산 쌀, 국내산 지초"
375ml,40,진도홍주 루비콘,대대로영농조합법인,"쌀, 누룩, 지초, 정제수"
"375ml, 500ml, 700ml","35, 40","진도홍주 아라리35%, 루비콘40%",대대로영농조합법인,"국내산 쌀, 국내산 지초"
375ml,38,명품홍주,대대로영농조합법인,"쌀, 지초"
375ml,38,진도 백주,대대로영농조합법인,"쌀(국내산)100%, 정제수, 조제종국, 효모, 지초(국내산), 올리고당, 구연산, 알라닌"
300ml,13,대윤 가야곡 왕주,대윤가야곡주조,"쌀, 누룩, 효모, 물엿, 정제수"
375ml,13,모을동주 약주,대작영농조합법인,"쌀(국내산), 조제종국 효모, 정제효소, 정제수"
330ml,5,멜론서리,댄싱사이더 컴퍼니,"사과즙(국산), 멜론과즙(국산), 정제수, 건조녹차(국산), 탄산가스, 페퍼민트티, 사과산(산도조절제), 구연산(산도조절제), 효모, 메타중아황산칼륨, 멜론항아황산류함유"
"330ml, 750ml",5,신애유자,댄싱사이더 컴퍼니,"사과즙(국산), 정제수, 벌꿀(국산), 생강즙(국산), 유자과즙(국산), 탄산가스, 로즈마리티, 사과산(산도조절제), 구연산(산도조절제), 천일염, 메타중아황산칼륨, 효모아황산류"
750ml,4.5,루드베리,댄싱사이더 컴퍼니,"사과즙(국산), 정제수, 딸기퓌레(국산), 건조레몬그라스(국산), 탄산가스, 동결건조딸기분말(국산), 바질잎, 사과산(산도조절제), 효모, 메타중아황산칼륨(산화방지제), 아황산류함유"
750ml,6.4,요새로제,댄싱사이더 컴퍼니,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)"
330ml,4.6,댄싱사이더 치키피치,댄싱사이더 컴퍼니,"사과즙, 정제수, 복숭아즙, 벌꿀, 복숭아티, 사과산, 구연산, 효모, 메타중아황산칼륨, 아황산류 함유"
750ml,4.5,문앞에봄,댄싱사이더 컴퍼니,"사과산,바질잎,동결건조딸기분말,이산화탄소,사과즙,정제수,딸기퓌레,설탕,건조레몬그라스,효모,메타중아황산칼륨"
750ml,15,원매,더한주류,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수"
375ml,25,서울의 밤,더한주류,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수"
300ml,"13, 15, 20",매실원주 허니,더한주류,"국내산 황매  80%, 청매20%"
700ml,20,원매 프리미엄,더한주류,국내산 황매실
600ml,30,천매,더한주류,매실
375ml,17,명랑 스컬,더한주류,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수"
750ml,20,원매,더한주류,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수"
750ml,12,무주구천동머루와인,덕유양조,머루
750ml,7,도깨비술 7,도깨비양조장,"국내산 멥쌀, 누룩, 효모, 정제수"
750ml,9,도깨비술 9,도깨비양조장,"국내산 멥쌀, 누룩, 효모, 정제수"
375ml,12,샤토미소 랑,도란원,청수
750ml,13,샤토미소 레드 드라이,도란원,"MBA, 산머루, 캠벨 얼리"
750ml,12,샤토미소 레드 스위트,도란원,"포도, 산화방지제, 효모, 설탕 등"
375ml,12,샤토미소 로제스위트와인,도란원,국내산 포도원액
200ml,40,샤토미소 영동,도란원,포도
375ml,12,미소 아이스,도란원,"포도, 산화방지제, 효모"
375ml,12,샤토미소 아이스와인,도란원,"포도(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 효모"
"375ml, 750ml",12,샤토미소 웨딩 자두와인,도란원,"자두(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 설탕, 효모"
"1,000ml",6,DOK막걸리,독브루어리,"정제수, 맵쌀, 찹쌀, 누룩, 효소, 효모"
750ml,13,레드듀 RED DEW,동강산머루영농조합법인,무농약머루
920ml,6,얼떨결에,동강주조,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)"
935ml,6,얼떨결에 퍼플,동강주조,"쌀(국내산), 찰보리쌀(국내산), 포도즙(국내산), 정제수, 정제효소, 효모, 젖산(산도조절제), 기타과당, 곡자(밀), 밀함유"
950ml,6,부안참뽕막걸리,동진주조,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스"
750ml,13,부안참뽕와인,동진주조,"정제수, 오디(국내산), 주정, 과당"
750ml,6,영일만친구 막걸리,동해명주,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산"
750ml,6,도구막걸리,동해명주,"정제수, 밀가루, 효모, 조제종국, 정제효소제, 젖산, 아스파탐, 아세설팜칼륨"
750ml,6,세오녀탁주,동해명주,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산"
750ml,6,동해동동주,동해명주,쌀100%(포항쌀)
750ml,12,연오랑탁주,동해명주,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산"
750ml,6,북극곰 막걸리,동해명주,"정제수, 쌀(국내산_포항유기농쌀), 물엿, 효모, 국, 정제효소제, 아스파탐(합성감미료, 페닐알라닌함유), 아세설팜칼륨(합성감미료), 젖산(산도조절제), 밀 함유"
750ml,6,도구막걸리,동해명주,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산"
500ml,45,메밀로,두루,"국내산 쌀, 메밀, 누룩, 정제수"
500ml,12,대관람차,두루미양조장 / 구름아양조장,
750ml,8,술헤는밤,두루전통양조,"쌀(국내산), 누룩(국내산)"
500ml,15,희양산 막걸리 15도,두술도가,"정제수, 쌀(국내산), 누룩(국내산), 효모"
750ml,9,희양산 막걸리 9도,두술도가,"정제수, 쌀(국내산), 누룩(국내산), 효모"
"360ml, 750ml",14,구기홍주 14,두이술공방,"국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수"
360ml,25,겨울소주 25,두이술공방,"국내산 쌀, 증류원액, 효모, 효소, 정제수"
600ml,8,걍즐겨,디오케이브루어리,"멥쌀,찹쌀,누룩,프렌치세종,석류,히비스커스"
375ml,23,대장부23,롯데칠성음료,"정제수, 쌀, 효모, 종국, 보리"
"950ml, 475ml",8,설하담,리큐랩주식회사,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소"
375ml,8,솜솜 막걸리,마깨주,"쌀, 누룩, 물"
500ml,12,문삼이공(moon320) 잣 주,마마스팜,"찹쌀19.02%, 멥쌀13.16%, 누룩3.3%, 잣1.02%, 정제수63.5%"
750ml,6,백년친구 쌀막걸리,만수주조(영농조합법인),"백미, 소맥분"
"750ml, 900ml",6,백년친구 풍기홍삼막걸리,만수주조(영농조합법인),"국내산 쌀, 홍삼"
200ml,40,진맥 소주,맹개술도가,통밀 소주원액
375ml,8,메들리손막걸리,메들리 주식회사,"쌀, 누룩"
375ml,7,메들리아카시아,메들리 주식회사,"꿀, 물, 효모"
700ml,18,면천두견주 700,면천두견주,"국내산 찹쌀, 누룩, 진달래꽃"
360ml,18,면천두견주 360,면천두견주,"국내산 찹쌀, 누룩, 진달래꽃"
500ml,14,매실향기 담은 술,명세주가,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수"
360ml,22,명인 안동소주 22%,명인안동소주,"쌀(국내산), 누룩, 정제수"
800ml,45,명인 안동소주 하회탈,명인안동소주,국내산 쌀 100%
800ml,45,명인 안동소주,명인안동소주,국내산 쌀 100%
800ml,45,명인 안동소주 양반탈,명인안동소주,"국내산 쌀, 누룩, 정제수"
300ml,16,대천바다 금빛,명주도가,"찹쌀, 밀, 누룩"
360ml,30,느낌 30,명품 안동소주,"국내산 백미, 누룩, 효모, 정제수"
360ml,19.8,느낌 19.8,명품 안동소주,"국내산 백미, 누룩, 효모, 정제수"
200ml,45,각시탈,명품안동소주,"쌀증류원액(쌀: 국내산), 정제수, 발효주정"
500ml,16,모월 청,모월,"쌀(국내산), 누룩, 정제수"
500ml,13,모월 연,모월,"국내산 쌀, 밀누룩(국산)"
500ml,41,모월 인,모월,"국내산 쌀, 정제수, 밀누룩"
500ml,25,모월 로,모월,"쌀(국내산), 누룩, 정제수"
150ml,25,모월로미니,모월,"쌀(국내산), 누룩, 정제수"
150ml,41%,모월인미니,모월,"쌀(국내산), 누룩, 정제수"
750ml,5.5,소풍,몬스터빌리지,"정제수, 쌀(국내산산청메뚜기쌀), 입국, 에리스리톨, 포도당, 효소처리 스테비아, 혼잡제제(효모, 유당, 넥스트린), 효소제, 탄산칼슘, 우유"
750ml,7,설레 7도,몬스터빌리지,"정제수, 쌀(국내산산청메뚜기쌀), 국, 효모, 밀함유"
750ml,13,맑은 문희주,문경주조,"국내산 유기농찹쌀, 국내산 멥쌀, 전통누룩, 정제수"
500ml,8.5,오희 스파클링 막걸리,문경주조,"백미, 건오미자, 조효소제, 효모, 정제수"
750ml,12,구름을 벗삼아,문경주조,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩"
750ml,6.5,오미자 생막걸리,문경주조,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)"
700ml,13,문희 탁주,문경주조,국내산 쌀
750ml,12,오미로제 스파클링 와인,문경주조,국내산 오미자
700ml,18,호산춘,문경호산춘,"멥쌀(국내산), 찹쌀(국내산), 정재수, 누룩, 솔잎, 밀(곡류)함유"
"500ml, 1000ml",40,문배술,문배주양조원,"국내산 찰수수, 국내산 메조"
200ml,40,문배술 헤리티지 40도,문배주양조원,"메조, 찰수수, 쌀"
375ml,25,문배술 헤리티지 25도,문배주양조원,"메조, 찰수수, 쌀"
375ml,16,경산대추약주 추,미송주가,"찹쌀, 맵쌀 , 누룩, 대추 (국내산100%)"
400ml,45,민속주 안동소주,민속주안동소주,"국내산 쌀, 누룩, 정제수"
750ml,13,가야곡왕주,민속주왕주,"쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실"
"350ml, 750ml","36.5, 56",소호,밝은세상영농조합,"평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎"
"350ml, 750ml",6.5,호랑이배꼽,밝은세상영농조합,"평택 쌀(현미 40%, 백미 60%), 누룩, 정제수, 정백당"
750ml,10,도문대작 생막걸리,방풍도가,"강릉 쌀, 누룩, 갯방풍나물, 정제수"
500ml,12,김천 배금도가,배금도가,"찹쌀, 멥쌀, 누룩"
500ml,16,주교주,배다리도가,"쌀(국내산), 누룩, 정제수, 정제효소, 효모"
500ml,7.5,가와지탁주,배다리도가,"효모, 입국, 가와지쌀"
450ml,6,아띠,배상면주가,쌀(국내산)
330ml,10,심술 10,배상면주가,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨"
330ml,7,심술 7,배상면주가,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨"
500ml,6,심술6 막걸리,배상면주가,"쌀(국내산), 국(입국), 건조효모, 아세설팜칼륨, 아스파탐"
500ml,40,오매락퍽,배상면주가,국내산 배증류원액
500ml,40,오매락,배상면주가,"배를 증류한 원액, 정제수, 설탕, 매실, 오매(구운 매실)"
330ml,13,민들레대포,배상면주가,"쌀, 누룩, 민들레"
750ml,6,느린마을 막걸리,배상면주가,"쌀, 국, 효모, 정제수"
500ml,25,감아락 25,배상면주가,"국내산 쌀, 감증류원액"
375ml,21,느린마을소주21,배상면주가,"쌀, 정제수, 입국, 조효소제, 건조효모"
375ml,12,복분자음,배상면주가,"복분자(국내산), 정제수"
370ml,7,빙탄복,배상면주가,복분자
500ml,40,복분자아락40,배상면주가,"복분자증류원액(국내산), 정제수"
500ml,40,오디아락40,배상면주가,오디증류주원액
360ml,16.9,느린마을 증류주,배상면주가,쌀(국내산)
180ml,3.8,심술 알쓰,배상면주가,복분자
700ml,12,느린마을 약주,배상면주가,"정제수, 쌀(국내산), 기타과당, 설탕, 국[곡자(밀), 조효소제(밀), 정제효소제], 젖산, 건조효모"
750ml,10,우곡생주,배혜정도가,"국내산 쌀, 누룩, 효모, 정제수"
750ml,6,호두땅콩막걸리,배혜정도가,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)"
750ml,4,메로니아,배혜정도가,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액"
750ml,6,호랑이 생 막걸리,배혜정도가,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유"
750ml,4,메로니아,배혜정도가,"쌀, 국, 효모, 젖산, 멜론 향, 물엿 등"
375ml,7,매실탁테일,배혜정도가,"국내산 백미, 매실천연과즙"
700ml,55,이담,배혜정도가,"국내산 쌀, 국내산 배"
350ml,40,로아40 옐로우,배혜정도가,"쌀(국산), 배(국산)"
375ml,13,우곡주,배혜정도가,쌀
375ml,7,매화마름 호랑이 막걸리,배혜정도가,쌀
375ml,9,부자 송산포도,배혜정도가,"쌀, 누룩, 포도즙"
"375ml, 300ml, 300ml","10, 13, 16",부자,배혜정도가,"쌀, 정제수, 고과당, 효모 등"
350ml,40,배도가 로아 40도 옐로우,배혜정도가,"국내산 쌀, 국내산 배"
350ml,40,로아40 레드,배혜정도가,사과소주원액
350ml,12,배도가 심플리 애플,배혜정도가,"정제수, 사과즙(국산), 쌀(국산), 벌꿀(국산), 천연향료(사과향), 구연산, 국, 효모, 비타민C, 밀함유"
375ml,14,매화마름,배혜정도가,"물, 유기농 갈색설탕(필리핀산), 유기농쌀(국내삼), 국, 효모, 산도조절제, 잔탄검(밀함유)"
350ml,19,로아19레드,배혜정도가,"사과소주원액(사과(국내산), 설탕, 효모, 메타중아황산칼륨(산화방지제), 셀룰라아제), 정제수"
350ml,19,로아19옐로우,배혜정도가,"배소주원액(배(국내산), 쌀(국내산), 물, 효모, 국, 젖산), 물"
350ml,40,로아40퍼플,배혜정도가,"포도소주원액(포도(국내산), 효모, 설탕, 메타중아황산칼륨(산화방지제), 정제수"
350ml,19,로아19화이트,배혜정도가,"물, 쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)"
350ml,40,로아40화이트,배혜정도가,"쌀소주원액(쌀(국내산), 물, 국, 효모, 젖산), 물, 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)"
750ml,6,생 옥수수 동동주,배혜정도가,"쌀, 옥수수분말, 물엿, 국, 효모, 젖산, 치자분말추출물, 아스파탐, 구연산, 효소처리 스테미아 밀함유"
750ml,7,매실 막걸리,백운주가,"쌀, 매실과즙"
360ml,11,백운 복분자 와인,백운주가,"쌀, 토종 복분자과즙"
360ml,13,백운복분자주,백운주가,"국내산 쌀, 국내산 복분자"
375ml,8,매화깊은밤,백제명가주조,"쌀(국산), 매실(국산), 누룩(국산)밀함유, 정제효소제, 효모, 설탕, 조제종국, 정제수"
375ml,8,보리수헤는밤,백제명가주조,"쌀(국산), 보리수(국산), 매실(국산), 홍국쌀, 누룩(국산)밀함유, 정제효소제, 효모, 설탕, 조제종국, 정제수"
750ml,6,청량주,법전양조장,"백미, 누룩, 종국, 효모"
500ml,13,라이스퐁당,벗드림양조장,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초"
500ml,7,볼빨간막걸리 7,벗드림양조장,"정제수, 찹쌀, 누룩"
1000ml,6,관악산생막걸리,별네트웍스 과천도가,"정제수, 멥쌀(국내산), 국, 효모, 밀함유"
750ml,6,병영설성 생막걸리,병영양조장,"쌀(국내산), 효모, 누룩, 정제수"
1700ml,6,병영설성 동동주,병영양조장,"쌀(국내산), 전분, 효모, 누룩, 정제수"
700ml,40,병영소주,병영양조장,"정제수, 보리증류식 소주원액(보리: 국내산)"
750ml,6,설성 만월 막걸리,병영주조장,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등"
750ml,40,병영설성사또,병영주조장,"국내산 쌀, 국내산 오디, 국내산 복분자"
375ml,18,청세주,병영주조장,국내산 쌀
500ml,12,보석막걸리,보석양조장,"정제수, 쌀(국내산), 국, 효모"
350ml,15,보성 강하주,보성강하주,국내산 찹쌀100%
935ml,10,복순도가 탁주,복순도가,"정제수, 쌀(국산), 곡자(밀), 밀함유"
935ml,6.5,복순도가 손막걸리,복순도가,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)"
750ml,10,복순도가 약주,복순도가,"정제수, 쌀(국산), 곡자(밀)"
935ml,6.5,빨간쌀막걸리,복순도가,
750ml,15,복순도가 과하주,복순도가,"쌀(국산), 곡자(밀), 정제수"
935ml,6.5,복순도가 슈퍼드라이,복순도가,"정제수, 쌀(국산), 곡자(밀)"
375ml,12,백수환동주,봇뜰,"쌀, 정제수, 누룩"
750ml,10,봇뜰 막걸리 10도,봇뜰,"쌀, 정제수, 누룩, 밀 함유"
750ml,6,불로생우리쌀막걸리,불로생우리쌀막걸리,국내산 쌀
"35-750ml, 45-800ml","35, 45",포항불로주,불로주,국내산 쌀
750ml,12,시나브로 레드 드라이,불휘농장,캠벨얼리
750ml,12,시나브로 청수 화이트,불휘농장,청수 100%
750ml,5,시나브로 에뚜왈 로제 스파클링,불휘농장,포도(캠벨얼리)
500ml,10,시나브로 로제와인,불휘농장,포도(캠벨얼리)
750ml,12,시나브로 레드 스위트,불휘농장,포도(캠벨얼리)
750ml,12,시나브로 드 글로리아,불휘농장,포도(캠벨얼리)
750ml,5,시나브로 에뚜왈 화이트 스파클링와인,불휘농장,국산포도(영동포도)
750ml,12,붉은진주머루와인,붉은진주,"머루, 정백당, 아황산칼륨, 소르빈산칼륨"
500ml,13,베리와인1168 스위트와인,블루컴퍼니,포도 87%
330ml,25,왕율주,사곡양조원,"국내산 쌀, 밤, 누룩, 정제수"
375ml,15,공주애 오디와인,사곡양조원,"국내산 오디, 정제수, 주정, 과당, 효모"
750ml,6,공주알밤 왕밤주,사곡양조장,"공주밤(국내산), 백미(국내산), 아스파탐"
330ml,25,진쾌남,사곡양조장,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수"
375ml,13.5,밤꽃향기,사곡양조장,"국내산 쌀, 밤, 누룩, 정제수"
750ml,12,소백산(샤토소백) 스위트 레드와인,산내들 와이너리,국내산포도 100%
350ml,12,머루이야기,산들벗㈜,국내산 머루(전북 무주)
375ml,40,산막와이너리 증류주 환희,산막 와이너리,국내산 캠벨얼리 100%
500ml,20,"산막와이너리, 초련",산막 와이너리,"포도, 아황산칼륨, 백설탕, 증류주"
750ml,13,"산막와이너리, 아로퓨어",산막와이너리,"아로니아, 아황산칼륨, 백설탕"
750ml,12,"산막와이너리, 라라",산막와이너리,"포도, 아황산칼륨, 백설탕"
750ml,13,"산막와이너리, 비원퓨어",산막와이너리,"포도, 아황산칼륨, 백설탕"
750ml,13,"산막와이너리, 미",산막와이너리,"포도, 아황산칼륨, 백설탕"
750ml,13,"산막와이너리, 비원",산막와이너리,"포도, 아황산칼륨, 백설탕"
750ml,13,"산막와이너리, 화몽",산막와이너리,"포도, 아황산칼륨, 백설탕"
360ml,12,감악산 산머루주,산머루농원,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)"
"750ml, 360ml",16,무주구천동산머루주,산머루농원,머루
"500ml, 700ml",12,너와머루와인,산머루농원영농조합법인,국내산 산머루 100%
500ml,12,도로시 머루주,산머루농원영농조합법인,"국내산 산머루원액 78.5%, 주정"
500ml,12,호모루덴스,산수양조장,"쌀, 누룩, 정제수"
750ml,12,찹쌀 생막걸리 12도,삼산주조장,"찹쌀, 멥쌀, 누룩"
750ml,9,찹쌀생막걸리 9도,삼산주조장,"찹쌀(해남산), 멥쌀(해남산), 누룩"
"1,700ml",6,두륜탁주,삼산주조장,"쌀, 밀가루, 누룩, 당귀"
500ml,15,삼양춘 청주,삼양춘,"정제수, 찹쌀, 맵쌀, 누룩"
500ml,15,삼양춘 생약주,삼양춘,"강화섬쌀, 전통누룩, 정제수"
500ml,13,삼양춘 스파클링,삼양춘,"정제수, 쌀(국내산), 전통누룩(밀), 탄산가스, 효모, 정제효소제"
500ml,14,오 마이 갓,삼양춘,"정제수, 쌀(국내산), 입국, 전통누룩(밀), 백설탕, 백목련꽃잎, 효모"
360ml,18,엄청주,삼오식품,"엄나무(국내산), 천일염, 토종꿀(국내산), 정제수"
750ml,6,도갓집 막걸리,삼호주조장,"정제수, 쌀(국내산), 국(국내산), 물엿, 누룩(밀함유), 효모, 아세설팜칼륨(감미료)"
750ml,12,너브내 로제 스파클링,샤또나드리,"국산포도 효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨"
750ml,12,너브내 스파클링 화이트,샤또나드리,"국산포도 효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨"
500ml,15,서울골드,서울양조장,"멥쌀, 찹쌀, 누룩, 정제수"
750ml,5,인생막걸리,서울장수㈜,"정제수,팽화미,팽화밀가루,말토올리고당,국,혼합제제효모,아스파탐,아세설팜칼륨"
750ml,6,장홍삼 장수 막걸리,서울장수㈜,"백미,말토올리고당,홍삼분말"
350ml,6,월매 쌀막걸리(캔),서울장수㈜,"백미, 말토올리고당, 정제수"
750ml,6,장수 생막걸리,서울장수주식회사,"백미(국내산), 말토올리고당, 홍삼분말"
