규격,도수,전통주명,제조사,주원료
500ml,13.5,단홍,서울효모방,"정제수, 찹쌀(국내산), 개량누룩, 효모, 유산균, 라즈베리(폴란드산), 히비스커스, 화자오, 비트(국내산), 우뭇가사리"
500ml,12.8,온섶,서울효모방,"정제수, 찹쌀(국내산), 개량누룩, 효모, 유산균, 계피, 생강, 감초, 넛맥, 파인애플(외국산)"
720ml,13,석로주,석이원주조,"국내산 쌀, 석이버섯, 누룩, 효모, 정제수"
500ml,15,벗이랑 강황,석이원주조,"쌀(국내산), 정제수, 강황(국내산), 프락토올리고당(국내산)"
500ml,15,벗이랑 버찌 홍국,석이원주조,"쌀(국내산), 정제수, 버찌;(국내산), 홍국쌀(국내산), 프락토올리고당(국내산)"
500ml,15,벗이랑 조릿대 산죽,석이원주조,"쌀(국내산), 정제수, 고려조릿대(국내산), 프락토올리고당(국내산)"
500ml,13,자자헌주,석이원주조,"정제수, 멥쌀(국내산), 석이버섯약재추출물(국내산), 누룩(밀함유), 효모"
375ml,17.3,독도소주,설악프로방스배꽃마을,"쌀 증류주 원액, 해양심층수, 주정, 에리스리톨, 결정과당, 고과당, 효소처리스테비아"
360ml,17.5,동해소주,설악프로방스배꽃마을,"쌀 증류주, 해양 심층수, 주정, 에리스리톨, 결정과당, 고과당, 효소처리스테비아"
"750ml, 1700ml",6,행운 생유자 동동주,성포양조장,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐"
750ml,6,성포 생막걸리,성포양조장,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐"
750ml,6,팔공산미나리 생막걸리,성포양조장,"쌀, 소맥분, 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐, 밀 함유"
750ml,12,소계리 595 스위트 레드와인,소계리 와이너리,"포도(국내산), 설탕, 효모, 메타중아황산칼륨"
750ml/ 1700ml,6,소양강 생 막걸리,"소양강도가(구, 천정양조장)","백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수"
720ml,18,자연송이주,솔래원,자연송이버섯
700ml,30,설궁,솔래원,"자연산 송이버섯, 산양산삼, 토종벌꿀"
375ml,13,솔송주,솔송주,"백미(국내산) 90%, 솔잎·송순(국내산) 10%"
750ml,16,명가원 복분자술,솔송주,"복분자(37.65%), 주정, 정제수, 구연산, 호박산, 정제식염, 액상과당, 효모, 설탕"
375ml,15,녹파주,솔송주(명가원),"국내산 찹쌀, 멥쌀, 누룩, 정제수"
"500ml, 750ml",40,담솔,솔송주(명가원),"백미(함양산) 90%, 솔잎·송순(함양산) 10%"
500ml,12.5,삼양춘 생탁주,송도향전통주조,"강화섬쌀, 전통누룩, 정제수"
700ml,48,송로주,송로주,"멥쌀, 솔옹이, 솔잎, 복령"
700ml,38,송화백일주,송화양조원,"송화, 솔잎, 산수유, 오미자, 구기자"
375ml,11.5,산머루 크라테 로제,수도산와이너리,산머루
750ml,11.5,산머루 크라테 드라이,수도산와이너리,산머루
750ml,11.5,산머루 크라테 스위트,수도산와이너리,산머리(국내산)
375ml,8.5,크라테 자두와인,수도산와이너리,"자두(국내산) 95.97%, 효모, 설탕, 메타중아황산칼륨(산화방지제)"
750ml,11.5,크라테 미디엄드라이,수도산와이너리,산머루(100%)
375ml,11.5,크라테 화이트스위트,수도산와이너리,청수(100%)
750ml,6,왕매실 막걸리,순성왕매실영농조합,"국내산쌀, 매실원액1%"
375ml,12,성읍민속마을 오메기술,술다끄는집,"좁쌀, 누룩"
500ml,14,바텐더의막걸리,술담화,"정제수, 멥쌀, 국, 효모, 기타과당, 물엿, 구연산, 아스파탐"
375ml,15,맑은바당,술도가 제주바당,"쌀(국내산), 국(밀누룩)"
500ml,40,제주낭만,술도가제주바당,"쌀, 백도라지"
500ml,40,키위술,술도가제주바당,"그린키위, 골드키위"
500ml,40,메밀이슬,술도가제주바당,"메밀(제주산), 입국(국내산), 효모, 정제수"
250ml,45,사십오도,술빚는전가네,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수"
250ml,40,입술,술빚는전가네,"쌀 효모, 젖산, 옥분, 억새어린순, 야관문, 정제수"
350ml,10,주홍춘,술빚는전가네,"포천쌀, 흑미찹쌀, 전가네이화곡, 연잎, 정제수"
250ml,61,육십일도,술빚는전가네,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수"
700ml,14,그리움,술샘,"국내산 쌀, 누룩, 효모, 정제수"
500ml,9,아임프리,술샘,"정제수, 쌀, 국, 효모"
375ml,16,꿀샘 16,술샘,"정제수, 주정, 설탕, 천연꿀, 생강, 구연산"
375ml,19,술샘19,술샘,"주정, 증류식소주, 정백당, 생강, 강황(국내산)"
375ml,16,술샘16,술샘,"쌀(국내산), 오미자(국내산), 주정, 정백당"
375ml,"25, 40, 54",미르,술샘,"쌀, 정제수"
375ml,14,감사블루,술샘,"쌀(국내산 경기미 100%), 누룩, 효모, 정제수"
375ml,14,감사,술샘,"쌀(국내산 경기미 100%), 누룩, 정제수"
375ml,10.8,붉은 원숭이,술샘,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수"
375ml,10.8,술취한 원숭이,술샘,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수"
375ml,25,빡치주,술샘,"증류원액(쌀 국내산 100%), 정제수"
375ml,13,서설,술샘,"쌀(국내산 경기미), 쌀누룩(국내산 경기미 조제종국)주정, 설탕, 구연산, 효모, 정제수"
375ml,16,볼빨간미자,술샘,"물, 주정, 정백당, 오미자(국내산)"
500ml,6,아임프리6.0,술샘,"정제수, 쌀(국내산, 경기미), 국(쌀누룩 국내산), 오미자, 효모"
100,8,이화주(술샘),술샘,"쌀(국내산 경기미 100%), 누룩, 정제수"
450ml,8,술아 핸드메이드 막걸리,술아원,"국내산 찹쌀, 누룩, 정제수"
350ml,14,복단지,술아원,"쌀(경기미),누룩(국내산),정제수,복분자(국내산)"
375ml,20,경성과하주,술아원,"찹쌀(여주산),누룩(국내산),정제수,쌀증류원액(경기미)"
375ml,20,술아 순곡주,술아원,"국내산 찹쌀, 누룩, 증류주, 정제수"
375ml,15,술아 국화주,술아원,"국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수"
375ml,15,술아 연화주,술아원,"국내산 찹쌀, 누룩, 건조연화꽃, 증류주, 정제수"
375ml,15,술아 매화주,술아원,"찹쌀(여주산),누룩(국내산),정제수,주정,매화꽃"
375ml,25,필,술아원,"고구마증류원액(고구마여주산100%),정제수"
350ml,14,복단지 350,술아원,"쌀(경기미), 정제수, 복분자(국내산), 누룩(국내산 밀 함유)"
750ml,5,PS 애플시드르,시나브로 와이너리,"사과, 정제수, 백설탕, 탄산가스, 효모, 메타중아황산칼륨, 소브산칼륨, 아황산함유"
350ml,25,미상25,시트러스,"감귤(제주산)증류주원액, 정제수, 스테비올배당제"
350ml,25,귀감,시트러스,"제주산 감귤과즙, 백설탕, 액상효모, 스테비올배당체, 무수아황산"
750ml,50,신례명주,시트러스,"제주산감귤, 감귤 증류주"
"200ml, 3000ml",6,말이야 막걸리야,시향가,"건조토란(국내산), 쌀(국내산), 정제수, 젖산(산도조절제), 효모"
200ml,8,시향가 미니캔막걸리,시향가주식회사,"물, 쌀, 건조토란, 젖산, 누룩, 효모, 정제효소제"
750ml,13,산막생대덕주,신탄진주조,"국내산 찹쌀, 누룩"
375ml,12,백련 맑은술,신평양조장,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등"
750ml,6,백련 생막걸리 snow (스노우),신평양조장,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등"
"375ml, 750ml",7,하얀연꽃 백련생막걸리,신평양조장,"국내산 백미, 국내산 백련잎"
375ml,7,하얀연꽃 백련막걸리,신평양조장,국내산 쌀
"375ml, 750ml",12,하얀연꽃 백련맑은 술,신평양조장,"국내산 쌀, 백련잎"
500ml,12,씨(C) 그린막걸리,씨(C) 막걸리,"쌀, 물, 누룩, 케일, 개똥쑥"
500ml,12,씨(C) 옐로막걸리,씨(C) 막걸리,"쌀, 물, 누룩, 당근, 레몬그라스"
500ml,12,씨(C) 막걸리 시그니처 큐베,씨(C) 막걸리,"쌀, 물, 누룩, 노간주나무열매, 건포도"
500ml,9,술공방 9.0 막걸리,아리랑주조,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)"
375ml,8,허니문,아이비영농조합법인,벌꿀(국내산)
500ml,8,허니비,아이비영농조합법인,벌꿀(국내산)
750ml,6,악양생막걸리,악양주조,"정제수, 백미(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)"
750ml,6,정감생막걸리,악양주조,"정제수, 백미(국내산), 찹쌀(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 미강(쌀겨), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)"
350ml,17,안동소주 일품 17도,안동소주일품,"국내산 쌀, 입국"
500ml,40,안동소주 일품 40도 골드,안동소주일품,"국내산 쌀, 입국"
350ml,21,안동소주 일품 21도,안동소주일품,"국내산 쌀, 입국"
1700ml,6,안양동동주,안양주조장,"국내산 햅쌀, 국내산 친환경 햇찹쌀"
360ml,16.5,장수 오미자주,알에프,"오미자(국내산), 정제수, 주정, 설탕, 효모"
500ml,12,오미시앙 스페셜,알에프,"오미자, 주정, 설탕, 효모"
500ml,18.5,과하주 온,양온소 온,"찹쌀, 정제수, 누룩, 더덕, 주정"
500ml,12,자작막걸리,양온소온양조장,"자작나무 수액, 누룩으로 빚은 삼양주 원주"
500ml,12,양조학당 뜰,양조학당,"멥쌀, 찹쌀, 백국, 효모, 솔잎, 쑥, 정제수"
120ml,8.5,이화주,양주골이가전통주,"양주쌀59.5%, 정제수24.6%, 쌀누룩15.9%(국내산)"
800ml,6.5,별산막걸리,양주도가,"정제수, 쌀(국내산), 입국, 효모, 당류가공품"
800ml,6,별산오디 스파클링 막걸리,양주도가,"정제수, 쌀(국내산), 당류가공품(원당, 올리고), 오디(국내산), 종국, 효모"
500ml,15,양지백주,양지술곳간,"국내산 쌀, 누룩, 효모, 정제수"
500ml,15,모든날에,양지술곳간,"정제수48.8%, 찹쌀(국내산, 39%), 멥쌀(국내산, 7.8%), 밀누룩4.4%"
375ml,23,아치23,양촌감양조장,"감 발효증류주, 정제수"
375ml,23,감이슬,양촌감영농조합법인,국내산 감
750ml,10,양촌 생 동동주,양촌양조,"정제수, 백미 효소제, 효모 등"
750ml,6,양촌 생 막걸리,양촌양조,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등"
500ml,7.5,우렁이쌀 손막걸리 DRY,양촌양조,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국"
500ml,14,양촌 우렁이쌀 청주,양촌양조,"무농약우렁이찹쌀, 우렁이 쌀, 정제수, 종국, 효모(무감미료)"
750ml,7.5,우렁이쌀 손 막걸리,양촌양조,"쌀, 정제수 효모, 정제효소, 효소처리 스테비아"
650ml,6,마크홀리 오리지널 6.0,어메이징브루잉컴퍼니,"정제수, 살(김포산), 국, 산도조절제, 효모"
375ml,13,에델 미디움 스위트와인,에델농원,"매실(100%), 정제수, 정제당, 효모"
375ml,13,에델 스위트와인,에델농원,"매실(100%), 정제수, 정제당, 효모"
500ml,16,여민락주,여주육묘영농조합법인,"국내산 쌀, 누룩, 효모, 정제수"
375ml,12,초선의 꿈,여포와인농장,국내산 포도
750ml,12,여포의 꿈 (화이트),여포와인농장,국내산 포도
750ml,12,여포의 꿈 레드(SWEET),여포와인농장,국내산 포도 100%
750ml,12,여포의 꿈 레드(Dry),여포와인농장,국내산 포도 100%
600ml,9,역전주,역전양조장 (역전회관),"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩"
500ml,10,나 와인,영농법인에스비케이조합,국내산 찹쌀 100%
500ml,12,오가피와인,영농조합법인 금이산농원,"오가피 열매(국내산), 백설탕, 효모, 메타중아황산칼륨"
750ml,16,설련주,영농조합법인 석전상온전통주가,"백련, 찹쌀, 멥쌀, 누룩"
750ml,6,울금생막걸리 정,영덕주조,"국내산 쌀, 국내산 울금"
750ml,6,새송이 쌀막걸리 정,영덕주조,"국내산 쌀, 새송이버섯"
360ml,15,인어교주해적술,영덕주조,"정제수, 증류원액(쌀, 국내산), 포도당, 포도과육(국내산), 효소처리스테비아, 포도향(합성향료), 구연산(산도조절제), 진주빛색소, 식용색소청색 제 1호(착색료), 이산화탄소"
300ml,15,행복한 상상 쵸코맛,영덕주조,"정제수, 정수, 사과(국내산), 복숭아(국내산), 포도과육,(국내산), 카카오"
360ml,20,동강더덕주,영월더덕영농조합법인,"더덕, 대추구기자, 감초, 원지"
750ml,12,예밀와인 로제,예밀2리영농조합법인,포도(캠벨얼리)
750ml,12,예밀와인 레드 스위트,예밀2리영농조합법인,포도(캠벨얼리)
750ml,13,예밀와인 레드 드라이,예밀2리영농조합법인,포도(캠벨얼리)
750ml,16,산내울 오미자주,예산사과와인,"오미자, 설탕, 주정, 정제수, 과당"
500ml,40,추사40,예산사과와인,"사과증류원액, 정제수"
375ml,11,추사 블루베리 와인,예산사과와인,"예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨"
375ml,12,추사 애플와인,예산사과와인,사과(국내산)
375ml,12,추사 로제,예산사과와인,사과
500ml,47,추사47,예산사과와인,"예산사과(100%), 효모"
350ml,25,추사백25,예산사과와인,"증류원액(사과증류원액, 사과: 국내산), 정제수"
500ml,40,추사백40 사과 증류식 소주,예산사과와인,
500ml,10,만강에 비친 달,예술주조,"홍천쌀, 단호박, 곡자(밀누룩)"
500ml,53,예술주조 `무작`,예술주조,"정제수, 누룩, 쌀"
500ml,16,동짓달 기나긴 밤,예술주조,"찹쌀, 맵쌀, 복분자, 전통누룩, 정제수"
500ml,17,동몽,예술주조,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)"
"20ml, 140ml",9,배꽃 필 무렵,예술주조,"정제수, 멥쌀(국내산), 누룩"
500ml,11,홍천강 탁주,예술주조,"홍천 쌀, 정제수, 국(밀 누룩)"
750ml,18.5,남산애 포트와인,예인화원,"포도(캠벨얼리, MBA, 산머루)"
750ml,14,남산애 레드와인,예인화원,"포도(캠벨얼리, MBA, 산머루)"
750ml,6,영탁막걸리,예천양조,"정제수, 백미(국내산), 입국(쌀, 밀), 물엿, 올리고당, 누룩(밀), 효모, 아스파탐, 아세설팔칼륨"
375,14,오계리 아이스와인,오계리 와이너리,영천포도
700ml,13,감자술 13%,오대서주양조,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수"
400ml,16,서주 16%,오대서주양조,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수"
750ml,8,다래와인 7004S,오름주가,참다래
750ml,12,다래와인 7004D,오름주가,참다래
375ml,8,다래와인 3004,오름주가,참다래
"750ml, 375ml",40,문경바람 오크,오미나라,사과(문경)
500ml,52,고운달 백자,오미나라,오미자(문경산)
"200ml, 500ml",52,고운달 오크,오미나라,오미자(문경산)
750ml,8,오미로제 연,오미나라,오미자
750ml,12,스파클링와인 오미로제 결,오미나라,오미자
750ml,12,오미로제 프리미어와인,오미나라,오미자(문경산)
375ml,22,혼,오미나라,문경사과(국내산)
250ml,53,독산 53,오산양조,"국내산 쌀, 누룩, 효모, 정제수"
850ml,8,하얀까마귀,오산양조,"물, 쌀(국내산), 국, 효모 (밀 함유)"
250ml,30,독산 30,오산양조,"정제수, 쌀(국내산), 누룩, 정제효소제, 효모"
"750ml, 1,500ml",6,이천쌀생막걸리,오성주조장,국내산 쌀
500ml,16,마주 소곡주,옥순가 소곡주 마주,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모"
500ml,41,마주 소곡화주,옥순가 소곡주 마주,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모"
375ml,15,옹근달 본막걸리,옹근달양조장,"쌀(강화섬 쌀), 정제수, 누룩"
365ml,16,어우야,왕지케양조장,"야관문(제주산), 정제수, 포도당, 효모"
"1,000ml",6,강냉이 막걸리,용두산 조은술,"정제수, 쌀, 소맥분, 옥분, 입국, 올리고당, 치자분말, 정제효소제, 효모, 아스파탐, 아세설팜칼륨, 밀함유"
750ml,16,신선주,용두산조은술,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼"
750ml,15,예주,용두산조은술,"복분자, 주정, 효모, 정제수"
750ml,6,소백산생막걸리,용두산조은술,"정제수, 쌀, 소맥분, 평화미"
500ml,35,금휘,용두산조은술(영),"국내산 쌀, 황기, 금나노화된 황금물"
700ml,43,소나무와 학,용두산조은술(영),"국내산 쌀, 황기"
750ml,6,톡쏘는 옥수수동동,우리술,"쌀, 정제수, 입국, 옥수수 농축액, 옥수수 추출물 등"
750ml,6,톡쏘는 고구마동동,우리술,"쌀, 정제수, 입국, 고구마 농축액, 고구마 추출물 등"
750ml,6,톡쏘는 알밤동동,우리술,"쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등"
750ml,6,가평 잣 생막걸리,우리술,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등"
"750ml, 950ml",6,톡쏘는 쌀 막걸리,우리술,국내산 쌀
900ml,6,황도배기 햅쌀막걸리,우리술,고창 황토배기 햅쌀
500ml,14,경기백주,우리술별처럼 과천도가,"정제수, 경기미 햅쌀, 국, 효모"
"200ml, 375ml",40,타락40,우유로 만든 증류주 타락,"증류원액(국내산 우유), 정제수"
930ml,6.5,맑은내일 발효 막걸리,우포의 아침 주식회사,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유"
"325ml, 500ml",12,맑은내일 우포,우포의아침,"국내산 쌀, 옥수수전분, 효모, 누룩, 양파, 정제수"
750ml,5,맑은내일 스파클링 막걸리,우포의아침,"정제수, 멥쌀(수입산), 누룩, 정제효소, 아스파탐(감미료/페닐알라닌 함유), 밀함유"
750ml,12,맑은내일 운암1945,우포의아침,"정제수, 쌀, 누룩, 효소제"
750ml,8,황감찰,운곡도가,"국내산 쌀, 찹쌀, 누룩, 효모, 정제수"
750ml,6.8,토끼구름,운곡도가,"정제수, 쌀, 올리고당, 전분, 조효소제, 혼합제제"
750ml,7,왕피천을 품은 미소생막걸리,울진술도가,"쌀, 누룩, 정제수"
750ml,7,미소 생막걸리,울진술도가,"쌀(국내산), 누룩, 정제수"
375ml,22,원소주,원스피리츠 농업법인 주식회사,"물, 쌀(국내산)"
720ml,16,원조소곡주,원조소곡주,"찹쌀(36%), 누룩(3%)"
"300ml, 500ml",41,한산 소곡화주,원조소곡주,"찹쌀, 멥쌀, 누룩"
750ml,12,그랑티그르 M1988,월류원,"캠벨얼리 포도, 오미자"
750ml,12,그랑티그르 CE2002,월류원,캠벨얼리 포도
375ml,10,오드린 베베마루 아내를 위한,월류원,캠벨얼리 포도
375ml,12,베베마루 캠밸로제,월류원,포도(캠벨얼리)
375ml,10,베베마루 캠벨로제 스위트,월류원,포도(캠벨얼리)
"375ml, 750ml",12,베베마루 설레임 로제 스위트와인,월류원 오드린,포도(캠벨얼리 100%)
750ml,12,위 (we)레드 (2018)와인,위 와이너리,국내산포도 100%
750ml,5%,은자골 생 탁배기,은척양조장,"백미, 소맥분, 정제수, 전분당, 국, 누룩, 효소, 아스파탐"
500ml,18,이상헌 약주,이가수불,"아산쌀, 국(국내산 밀누룩), 정제수"
750ml,7.6,남산둘레길,이대앞양조장,"물, 쌀(국산), 국(밀함유), 솔잎(국산)"
375ml,12,눈내린여름밤,이대앞양조장,"쌀, 누룩, 물"
750ml,6,이동 생 쌀 막걸리,이동주조,"정제수, 백미, 팽화미, 입국, 아스파탐 등"
375ml,23,뱁새,이쁜꽃양조장,"쌀, 찹쌀, 모싯잎, 생강, 구절초"
750ml,6,아이원 막걸리,이원양조장,"쌀, 밀, 입국, 누룩, 정제수"
700ml,10,시인의마을,이원양조장,"쌀(국내산), 누룩, 정제수"
700ml,9,우리밀 막걸리 향수,이원양조장,"쌀, 밀, 입국, 누룩, 정제수"
940ml,6,이화백주 순탁주,이화백주,"정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐"
750ml,6,인천 생 소성주,인천탁주,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당"
375ml,13,천안연미주,입장주조㈜,국내산 쌀
750ml,12,자두와인,자두사랑,국내산 자두
"375ml, 500ml, 750ml",14,홍삼명주,자연과 인삼,홍삼(국내산)
500ml,8,자희향 나비,자희자양,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수"
500ml,12,자희향,자희자양,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수"
375ml,15,자희향 국화주,자희자양,국내산 쌀
750ml,6,레돔 시드르,작은알자스,사과
750ml,7.5,레돔 내추럴 스파클링 로제와인,작은알자스,포도
500ml,13,세종대왕어주 탁주,장희도가,"쌀(국내산), 누룩, 정제수"
500ml,15,세종대왕어주 약주,장희도가,"쌀, 누룩 정제수"
350ml,10,고향춘,전가네,"포천쌀, 찹쌀, 향미찹쌀, 전가네이화곡, 정제수"
375ml,19,이강주,전주 이강주,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀"
1000ml,5,경기전,전주술로시티,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수"
375ml,25,오디여라,전주이강주,"오디증류원액(오디:국내산), 정제수, 올리고당"
375ml,16,청진주,전통주연구개발원,"찹쌀, 누룩, 정제수"
500ml,40,아리아리,정선명주,"정제수, 과실주증류주원액(정제수, 오가피열매: 정선산, 설탕, 효모)"
750ml,6,곤드레생막걸리,정선명주,"백미(국내산), 감자(정선산), 곤드레(정선산)"
